time_period,period2,time_identifier,la_name,new_la_code,headcount
201718,2017-18,Academic year,Harrow,E09000015,21956
201718,2017-18,Academic year,Havering,E09000016,22990
201718,2017-18,Academic year,Hillingdon,E09000017,30690
201718,2017-18,Academic year,Hounslow,E09000018,25059
201718,2017-18,Academic year,Kingston upon Thames,E09000021,14749
201718,2017-18,Academic year,Merton,E09000024,19446
201718,2017-18,Academic year,Newham,E09000025,36375
201718,2017-18,Academic year,Redbridge,E09000026,29975
201718,2017-18,Academic year,Richmond upon Thames,E09000027,17705
201718,2017-18,Academic year,Sutton,E09000029,18876
201718,2017-18,Academic year,Waltham Forest,E09000031,26063
201819,2018-19,Academic year,City of London,E09000001,285
201819,2018-19,Academic year,Camden,E09000007,11728
201819,2018-19,Academic year,Greenwich,E09000011,26587
201819,2018-19,Academic year,Hackney,E09000012,20356
201819,2018-19,Academic year,Hammersmith and Fulham,E09000013,10507
201819,2018-19,Academic year,Islington,E09000019,15125
201819,2018-19,Academic year,Kensington and Chelsea,E09000020,7305
201819,2018-19,Academic year,Lambeth,E09000022,22363
201819,2018-19,Academic year,Lewisham,E09000023,24968
201819,2018-19,Academic year,Southwark,E09000028,24901
201819,2018-19,Academic year,Tower Hamlets,E09000030,25930
201819,2018-19,Academic year,Wandsworth,E09000032,20699
201819,2018-19,Academic year,Westminster,E09000033,10185
201819,2018-19,Academic year,Barking and Dagenham,E09000002,26187
201819,2018-19,Academic year,Barnet,E09000003,31877
201819,2018-19,Academic year,Bexley,E09000004,22831
201819,2018-19,Academic year,Brent,E09000005,27479
201819,2018-19,Academic year,Bromley,E09000006,27820
201819,2018-19,Academic year,Croydon,E09000008,33716
201819,2018-19,Academic year,Ealing,E09000009,33012
201819,2018-19,Academic year,Enfield,E09000010,33221
201819,2018-19,Academic year,Haringey,E09000014,23195
201819,2018-19,Academic year,Harrow,E09000015,22226
201819,2018-19,Academic year,Havering,E09000016,23206
201819,2018-19,Academic year,Hillingdon,E09000017,30600
201819,2018-19,Academic year,Hounslow,E09000018,25095
201819,2018-19,Academic year,Kingston upon Thames,E09000021,14791
201819,2018-19,Academic year,Merton,E09000024,19034
201819,2018-19,Academic year,Newham,E09000025,36247
201819,2018-19,Academic year,Redbridge,E09000026,30083
201819,2018-19,Academic year,Richmond upon Thames,E09000027,17704
201819,2018-19,Academic year,Sutton,E09000029,19072
201819,2018-19,Academic year,Waltham Forest,E09000031,25757
201920,2019-20,Academic year,City of London,E09000001,276
201920,2019-20,Academic year,Camden,E09000007,11483
201920,2019-20,Academic year,Greenwich,E09000011,26389
201920,2019-20,Academic year,Hackney,E09000012,20080
201920,2019-20,Academic year,Hammersmith and Fulham,E09000013,10279
201920,2019-20,Academic year,Islington,E09000019,14957
201920,2019-20,Academic year,Kensington and Chelsea,E09000020,7214
201920,2019-20,Academic year,Lambeth,E09000022,21955
201920,2019-20,Academic year,Lewisham,E09000023,25038
201920,2019-20,Academic year,Southwark,E09000028,24320
201920,2019-20,Academic year,Tower Hamlets,E09000030,25683
201920,2019-20,Academic year,Wandsworth,E09000032,20426
